"Launavísitala eftir mánuðum frá 1989"

"Mánuður";"Vísitölugildi";"Mánaðarbreyting, %";"Ársbreyting, %"
"1989M01";100.0;0.0;.
"1989M02";100.6;0.6;.
"1989M03";101.3;0.7;.
"1989M04";102.6;1.3;.
"1989M05";105.7;3.0;.
"1989M06";106.3;0.6;.
"1989M07";106.8;0.5;.
"1989M08";107.0;0.2;.
"1989M09";110.1;2.9;.
"1989M10";110.3;0.2;.
"1989M11";112.7;2.2;.
"1989M12";112.7;0.0;12.7
"1990M01";113.3;0.5;13.3
"1990M02";114.7;1.2;14.0
"1990M03";114.7;0.0;13.2
"1990M04";114.7;0.0;11.8
"1990M05";115.0;0.3;8.8
"1990M06";116.6;1.4;9.7
"1990M07";116.9;0.3;9.5
"1990M08";116.9;0.0;9.3
"1990M09";116.6;-0.3;5.9
"1990M10";116.9;0.3;6.0
"1990M11";117.0;0.1;3.8
"1990M12";120.1;2.6;6.6
"1991M01";120.2;0.1;6.1
"1991M02";120.3;0.1;4.9
"1991M03";123.7;2.8;7.8
"1991M04";123.7;0.0;7.8
"1991M05";123.7;0.0;7.6
"1991M06";127.0;2.7;8.9
"1991M07";129.2;1.7;10.5
"1991M08";129.2;0.0;10.5
"1991M09";129.3;0.1;10.9
"1991M10";127.8;-1.2;9.3
"1991M11";127.8;0.0;9.2
"1991M12";127.8;0.0;6.4
"1992M01";127.8;0.0;6.3
"1992M02";127.8;0.0;6.2
"1992M03";128.1;0.2;3.6
"1992M04";128.1;0.0;3.6
"1992M05";130.0;1.5;5.1
"1992M06";130.1;0.1;2.4
"1992M07";130.2;0.1;0.8
"1992M08";130.2;0.0;0.8
"1992M09";130.3;0.1;0.8
"1992M10";130.4;0.1;2.0
"1992M11";130.4;0.0;2.0
"1992M12";130.7;0.2;2.3
"1993M01";130.7;0.0;2.3
"1993M02";130.8;0.1;2.3
"1993M03";131.1;0.2;2.3
"1993M04";131.1;0.0;2.3
"1993M05";131.2;0.1;0.9
"1993M06";131.3;0.1;0.9
"1993M07";131.3;0.0;0.8
"1993M08";131.3;0.0;0.8
"1993M09";131.5;0.2;0.9
"1993M10";131.5;0.0;0.8
"1993M11";131.8;0.2;1.1
"1993M12";131.9;0.1;0.9
"1994M01";131.9;0.0;0.9
"1994M02";132.0;0.1;0.9
"1994M03";132.1;0.1;0.8
"1994M04";132.2;0.1;0.8
"1994M05";132.2;0.0;0.8
"1994M06";133.1;0.7;1.4
"1994M07";133.1;0.0;1.4
"1994M08";133.2;0.1;1.4
"1994M09";133.3;0.1;1.4
"1994M10";133.6;0.2;1.6
"1994M11";133.7;0.1;1.4
"1994M12";133.8;0.1;1.4
"1995M01";133.9;0.1;1.5
"1995M02";134.8;0.7;2.1
"1995M03";136.6;1.3;3.4
"1995M04";137.3;0.5;3.9
"1995M05";138.8;1.1;5.0
"1995M06";139.6;0.6;4.9
"1995M07";139.7;0.1;5.0
"1995M08";140.3;0.4;5.3
"1995M09";140.8;0.4;5.6
"1995M10";141.2;0.3;5.7
"1995M11";141.5;0.2;5.8
"1995M12";141.8;0.2;6.0
"1996M01";146.7;3.5;9.6
"1996M02";146.9;0.1;9.0
"1996M03";147.4;0.3;7.9
"1996M04";147.4;0.0;7.4
"1996M05";147.8;0.3;6.5
"1996M06";147.9;0.1;5.9
"1996M07";147.9;0.0;5.9
"1996M08";147.9;0.0;5.4
"1996M09";148.0;0.1;5.1
"1996M10";148.2;0.1;5.0
"1996M11";148.2;0.0;4.7
"1996M12";148.7;0.3;4.9
"1997M01";148.8;0.1;1.4
"1997M02";148.9;0.1;1.4
"1997M03";149.5;0.4;1.4
"1997M04";154.1;3.1;4.5
"1997M05";156.7;1.7;6.0
"1997M06";157.1;0.3;6.2
"1997M07";157.9;0.5;6.8
"1997M08";158.0;0.1;6.8
"1997M09";158.5;0.3;7.1
"1997M10";159.3;0.5;7.5
"1997M11";159.8;0.3;7.8
"1997M12";160.7;0.6;8.1
"1998M01";167.9;4.5;12.8
"1998M02";168.4;0.3;13.1
"1998M03";168.7;0.2;12.8
"1998M04";169.2;0.3;9.8
"1998M05";169.4;0.1;8.1
"1998M06";169.9;0.3;8.1
"1998M07";170.4;0.3;7.9
"1998M08";171.4;0.6;8.5
"1998M09";171.7;0.2;8.3
"1998M10";172.1;0.2;8.0
"1998M11";172.5;0.2;7.9
"1998M12";173.3;0.5;7.8
"1999M01";180.4;4.1;7.4
"1999M02";180.9;0.3;7.4
"1999M03";181.2;0.2;7.4
"1999M04";181.4;0.1;7.2
"1999M05";181.6;0.1;7.2
"1999M06";181.8;0.1;7.0
