Dagsetning;Vísitala neysluverðs;Verðbólgumarkmið
01.01.2009;18,60;2,50
01.02.2009;17,60;2,50
01.03.2009;15,20;2,50
01.04.2009;11,90;2,50
01.05.2009;11,60;2,50
01.06.2009;12,20;2,50
01.07.2009;11,30;2,50
01.08.2009;10,90;2,50
01.09.2009;10,80;2,50
01.10.2009;9,70;2,50
01.11.2009;8,60;2,50
01.12.2009;7,50;2,50
01.01.2010;6,60;2,50
01.02.2010;7,30;2,50
01.03.2010;8,50;2,50
01.04.2010;8,30;2,50
01.05.2010;7,50;2,50
01.06.2010;5,70;2,50
01.07.2010;4,80;2,50
01.08.2010;4,50;2,50
01.09.2010;3,70;2,50
01.10.2010;3,30;2,50
01.11.2010;2,60;2,50
01.12.2010;2,50;2,50
01.01.2011;1,80;2,50
01.02.2011;1,90;2,50
01.03.2011;2,30;2,50
01.04.2011;2,80;2,50
01.05.2011;3,40;2,50
01.06.2011;4,20;2,50
01.07.2011;5,00;2,50
01.08.2011;5,00;2,50
01.09.2011;5,70;2,50
01.10.2011;5,30;2,50
01.11.2011;5,20;2,50
01.12.2011;5,30;2,50
01.01.2012;6,50;2,50
01.02.2012;6,30;2,50
01.03.2012;6,40;2,50
01.04.2012;6,40;2,50
01.05.2012;5,40;2,50
01.06.2012;5,40;2,50
01.07.2012;4,60;2,50
01.08.2012;4,10;2,50
01.09.2012;4,30;2,50
01.10.2012;4,20;2,50
01.11.2012;4,50;2,50
01.12.2012;4,20;2,50
01.01.2013;4,20;2,50
01.02.2013;4,80;2,50
01.03.2013;3,90;2,50
01.04.2013;3,30;2,50
01.05.2013;3,30;2,50
01.06.2013;3,30;2,50
01.07.2013;3,80;2,50
01.08.2013;4,30;2,50
01.09.2013;3,90;2,50
01.10.2013;3,60;2,50
01.11.2013;3,70;2,50
01.12.2013;4,20;2,50
01.01.2014;3,10;2,50
01.02.2014;2,10;2,50
01.03.2014;2,20;2,50
01.04.2014;2,30;2,50
01.05.2014;2,40;2,50
01.06.2014;2,20;2,50
01.07.2014;2,40;2,50
01.08.2014;2,20;2,50
01.09.2014;1,80;2,50
01.10.2014;1,90;2,50
01.11.2014;1,00;2,50
01.12.2014;0,80;2,50
01.01.2015;0,80;2,50
01.02.2015;0,80;2,50
01.03.2015;1,60;2,50
01.04.2015;1,40;2,50
01.05.2015;1,60;2,50
01.06.2015;1,50;2,50
01.07.2015;1,90;2,50
01.08.2015;2,20;2,50
01.09.2015;1,90;2,50
01.10.2015;1,80;2,50
01.11.2015;2,00;2,50
01.12.2015;2,00;2,50
01.01.2016;2,10;2,50
01.02.2016;2,20;2,50
01.03.2016;1,50;2,50
01.04.2016;1,60;2,50
01.05.2016;1,70;2,50
01.06.2016;1,60;2,50
01.07.2016;1,10;2,50
01.08.2016;0,90;2,50
01.09.2016;1,80;2,50
01.10.2016;1,80;2,50
01.11.2016;2,10;2,50
01.12.2016;1,90;2,50
01.01.2017;1,90;2,50
01.02.2017;1,90;2,50
01.03.2017;1,60;2,50
01.04.2017;1,90;2,50
01.05.2017;1,70;2,50
01.06.2017;1,50;2,50
01.07.2017;1,80;2,50
01.08.2017;1,70;2,50
01.09.2017;1,40;2,50
01.10.2017;1,90;2,50
01.11.2017;1,70;2,50
01.12.2017;1,90;2,50
01.01.2018;2,40;2,50
01.02.2018;2,30;2,50
01.03.2018;2,80;2,50
01.04.2018;2,30;2,50
01.05.2018;2,00;2,50
01.06.2018;2,60;2,50
01.07.2018;2,70;2,50
01.08.2018;2,60;2,50
01.09.2018;2,70;2,50
01.10.2018;2,80;2,50
01.11.2018;3,30;2,50
01.12.2018;3,70;2,50
01.01.2019;3,40;2,50
01.02.2019;3,00;2,50
01.03.2019;2,90;2,50
01.04.2019;3,30;2,50
01.05.2019;3,60;2,50
01.06.2019;3,30;2,50
01.07.2019;3,10;2,50
01.08.2019;3,20;2,50
01.09.2019;3,00;2,50
01.10.2019;2,80;2,50
01.11.2019;2,70;2,50
01.12.2019;2,00;2,50
01.01.2020;1,70;2,50
01.02.2020;2,40;2,50
01.03.2020;2,10;2,50
01.04.2020;2,20;2,50
01.05.2020;2,60;2,50
01.06.2020;2,60;2,50
01.07.2020;3,00;2,50
01.08.2020;3,20;2,50
01.09.2020;3,50;2,50
01.10.2020;3,60;2,50
01.11.2020;3,50;2,50
01.12.2020;3,60;2,50
01.01.2021;4,30;2,50
01.02.2021;4,10;2,50
01.03.2021;4,30;2,50
01.04.2021;4,60;2,50
01.05.2021;4,40;2,50
01.06.2021;4,30;2,50
01.07.2021;4,30;2,50
01.08.2021;4,30;2,50
01.09.2021;4,40;2,50
01.10.2021;4,50;2,50
01.11.2021;4,80;2,50
01.12.2021;5,10;2,50
01.01.2022;5,70;2,50
01.02.2022;6,20;2,50
01.03.2022;6,70;2,50
01.04.2022;7,20;2,50
01.05.2022;7,60;2,50
01.06.2022;8,80;2,50
01.07.2022;9,90;2,50
01.08.2022;9,70;2,50
01.09.2022;9,30;2,50
01.10.2022;9,40;2,50
01.11.2022;9,30;2,50
01.12.2022;9,60;2,50
01.01.2023;9,90;2,50
01.02.2023;10,20;2,50
01.03.2023;9,80;2,50
01.04.2023;9,90;2,50
01.05.2023;9,50;2,50
01.06.2023;8,90;2,50
01.07.2023;7,60;2,50
01.08.2023;7,70;2,50
